date,city,precipitation,month,year
2020-01-01,NYC,0.0,1,2020
2020-01-02,NYC,0.0,1,2020
2020-01-03,NYC,0.21,1,2020
2020-01-04,NYC,0.12,1,2020
2020-01-05,NYC,0.0,1,2020
2020-01-06,NYC,0.04,1,2020
2020-01-07,NYC,0.0,1,2020
2020-01-08,NYC,0.02,1,2020
2020-01-09,NYC,0.0,1,2020
2020-01-10,NYC,0.0,1,2020
2020-01-11,NYC,0.0,1,2020
2020-01-12,NYC,0.05,1,2020
2020-01-13,NYC,0.0,1,2020
2020-01-14,NYC,0.0,1,2020
2020-01-15,NYC,0.02,1,2020
2020-01-16,NYC,0.11,1,2020
2020-01-17,NYC,0.02,1,2020
2020-01-18,NYC,0.37,1,2020
2020-01-19,NYC,0.0,1,2020
2020-01-20,NYC,0.0,1,2020
2020-01-21,NYC,0.0,1,2020
2020-01-22,NYC,0.0,1,2020
2020-01-23,NYC,0.0,1,2020
2020-01-24,NYC,0.0,1,2020
2020-01-25,NYC,0.89,1,2020
2020-01-26,NYC,0.81,1,2020
2020-01-27,NYC,0.0,1,2020
2020-01-28,NYC,0.0,1,2020
2020-01-29,NYC,0.0,1,2020
2020-01-30,NYC,0.0,1,2020
2020-01-31,NYC,0.0,1,2020
2020-02-01,NYC,0.01,2,2020
2020-02-02,NYC,0.06,2,2020
2020-02-03,NYC,0.09,2,2020
2020-02-04,NYC,0.03,2,2020
2020-02-05,NYC,0.05,2,2020
2020-02-06,NYC,0.42,2,2020
2020-02-07,NYC,0.27,2,2020
2020-02-08,NYC,0.1,2,2020
2020-02-09,NYC,0.0,2,2020
2020-02-10,NYC,0.21,2,2020
2020-02-11,NYC,0.7,2,2020
2020-02-12,NYC,0.08,2,2020
2020-02-13,NYC,0.35,2,2020
2020-02-14,NYC,0.15,2,2020
2020-02-15,NYC,0.0,2,2020
2020-02-16,NYC,0.0,2,2020
2020-02-17,NYC,0.0,2,2020
2020-02-18,NYC,0.0,2,2020
2020-02-19,NYC,0.0,2,2020
2020-02-20,NYC,0.0,2,2020
2020-02-21,NYC,0.0,2,2020
2020-02-22,NYC,0.0,2,2020
2020-02-23,NYC,0.0,2,2020
2020-02-24,NYC,0.0,2,2020
2020-02-25,NYC,0.0,2,2020
2020-02-26,NYC,0.15,2,2020
2020-02-27,NYC,1.0,2,2020
2020-02-28,NYC,0.0,2,2020
2020-02-29,NYC,0.0,2,2020
2020-03-01,NYC,0.0,3,2020
2020-03-02,NYC,0.0,3,2020
2020-03-03,NYC,0.05,3,2020
2020-03-04,NYC,0.0,3,2020
