STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,DASF,MDSF
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2020-01-01,,,0.0,0.0,0.0,,
US1NYWC0018,"ARMONK 0.3 SE, NY US",41.12996,-73.708161,117.3,2020-01-01,,,0.06,0.0,0.0,,
US1NYNS0034,"WANTAGH 0.3 ESE, NY US",40.666824,-73.505371,4.3,2020-01-01,,,0.0,0.0,0.0,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,22.8,2020-01-01,,,0.0,,,,
US1NYNS0042,"ALBERTSON 0.2 SSE, NY US",40.769131,-73.647484,43.3,2020-01-01,,,0.0,0.0,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,2020-01-01,,,0.0,0.0,0.0,,
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",40.668899,-73.418342,3.7,2020-01-01,,,0.02,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",40.7229996,-73.7109985,24.1,2020-01-01,,,0.01,,,,
US1NYSF0061,"CENTERPORT 0.9 SW, NY US",40.8916893005371,-73.3831329345703,53.6,2020-01-01,,,0.03,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,2020-01-02,,,0.0,0.0,0.0,,
US1NYNS0034,"WANTAGH 0.3 ESE, NY US",40.666824,-73.505371,4.3,2020-01-02,,,0.0,0.0,0.0,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,22.8,2020-01-02,,,0.0,,,,
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",40.668899,-73.418342,3.7,2020-01-02,,,0.0,,,,
US1NYNS0042,"ALBERTSON 0.2 SSE, NY US",40.769131,-73.647484,43.3,2020-01-02,,,0.0,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",40.7229996,-73.7109985,24.1,2020-01-02,,,0.0,0.0,,,
US1NYWC0018,"ARMONK 0.3 SE, NY US",41.12996,-73.708161,117.3,2020-01-02,,,0.0,0.0,0.0,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2020-01-02,,,0.0,0.0,0.0,,
US1NYSF0061,"CENTERPORT 0.9 SW, NY US",40.8916893005371,-73.3831329345703,53.6,2020-01-02,,,0.0,,,,
US1NYNS0034,"WANTAGH 0.3 ESE, NY US",40.666824,-73.505371,4.3,2020-01-03,,,0.21,0.0,0.0,,
US1NYWC0018,"ARMONK 0.3 SE, NY US",41.12996,-73.708161,117.3,2020-01-03,,,0.09,0.0,0.0,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,22.8,2020-01-03,,,0.09,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,2020-01-03,,,0.13,0.0,0.0,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",40.7229996,-73.7109985,24.1,2020-01-03,,,0.13,,,,
US1NYSF0061,"CENTERPORT 0.9 SW, NY US",40.8916893005371,-73.3831329345703,53.6,2020-01-03,,,0.12,,,,
US1NYNS0042,"ALBERTSON 0.2 SSE, NY US",40.769131,-73.647484,43.3,2020-01-03,,,0.1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2020-01-03,,,0.15,0.0,0.0,,
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",40.668899,-73.418342,3.7,2020-01-03,,,0.19,,,,
US1NYNS0034,"WANTAGH 0.3 ESE, NY US",40.666824,-73.505371,4.3,2020-01-04,,,0.12,0.0,0.0,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,2020-01-04,,,0.16,0.0,0.0,,
US1NYNS0042,"ALBERTSON 0.2 SSE, NY US",40.769131,-73.647484,43.3,2020-01-04,,,0.32,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",40.7229996,-73.7109985,24.1,2020-01-04,,,0.24,,,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,22.8,2020-01-04,,,0.08,,,,
US1NYWC0018,"ARMONK 0.3 SE, NY US",41.12996,-73.708161,117.3,2020-01-04,,,0.17,0.0,0.0,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2020-01-04,,,0.27,0.0,0.0,,
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",40.668899,-73.418342,3.7,2020-01-04,,,0.21,,,,
US1NYSF0061,"CENTERPORT 0.9 SW, NY US",40.8916893005371,-73.3831329345703,53.6,2020-01-04,,,0.23,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,2020-01-05,,,0.0,0.0,0.0,,
US1NYNS0042,"ALBERTSON 0.2 SSE, NY US",40.769131,-73.647484,43.3,2020-01-05,,,0.04,,,,
US1NYWC0018,"ARMONK 0.3 SE, NY US",41.12996,-73.708161,117.3,2020-01-05,,,0.07,0.0,0.0,,
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",40.668899,-73.418342,3.7,2020-01-05,,,0.09,,,,
US1NYNS0034,"WANTAGH 0.3 ESE, NY US",40.666824,-73.505371,4.3,2020-01-05,,,0.05,0.0,0.0,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2020-01-05,,,0.0,0.0,0.0,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",40.7229996,-73.7109985,24.1,2020-01-05,,,0.04,,,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,22.8,2020-01-05,,,0.02,,,,
US1NYSF0061,"CENTERPORT 0.9 SW, NY US",40.8916893005371,-73.3831329345703,53.6,2020-01-05,,,0.05,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2020-01-06,,,0.04,0.2,0.0,,
US1NYSF0061,"CENTERPORT 0.9 SW, NY US",40.8916893005371,-73.3831329345703,53.6,2020-01-06,,,0.02,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",40.7229996,-73.7109985,24.1,2020-01-06,,,0.02,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,2020-01-06,,,0.03,0.3,0.0,,
US1NYNS0034,"WANTAGH 0.3 ESE, NY US",40.666824,-73.505371,4.3,2020-01-06,,,0.0,0.0,,,
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",40.668899,-73.418342,3.7,2020-01-06,,,0.02,0.0,0.0,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,22.8,2020-01-06,,,0.0,,,,
US1NYNS0042,"ALBERTSON 0.2 SSE, NY US",40.769131,-73.647484,43.3,2020-01-06,,,0.02,0.0,,,
US1NYWC0018,"ARMONK 0.3 SE, NY US",41.12996,-73.708161,117.3,2020-01-06,,,0.01,0.2,0.2,,
US1NYNS0042,"ALBERTSON 0.2 SSE, NY US",40.769131,-73.647484,43.3,2020-01-07,,,0.0,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2020-01-07,,,0.0,0.0,0.0,,
US1NYSF0061,"CENTERPORT 0.9 SW, NY US",40.8916893005371,-73.3831329345703,53.6,2020-01-07,,,0.0,,,,
US1NYWC0018,"ARMONK 0.3 SE, NY US",41.12996,-73.708161,117.3,2020-01-07,,,0.0,0.0,0.0,,
US1NYNS0034,"WANTAGH 0.3 ESE, NY US",40.666824,-73.505371,4.3,2020-01-07,,,0.0,0.0,0.0,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",40.7229996,-73.7109985,24.1,2020-01-07,,,0.0,0.0,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,2020-01-07,,,0.03,0.0,0.0,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,22.8,2020-01-07,,,0.05,,,,
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",40.668899,-73.418342,3.7,2020-01-07,,,0.01,,,,
US1NYNS0034,"WANTAGH 0.3 ESE, NY US",40.666824,-73.505371,4.3,2020-01-08,,,0.02,0.0,0.0,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,22.8,2020-01-08,,,0.0,,,,
US1NYWC0018,"ARMONK 0.3 SE, NY US",41.12996,-73.708161,117.3,2020-01-08,,,0.01,0.0,0.0,,
US1NYSF0061,"CENTERPORT 0.9 SW, NY US",40.8916893005371,-73.3831329345703,53.6,2020-01-08,,,0.1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,2020-01-08,,,0.0,0.0,0.0,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2020-01-08,,,0.0,0.0,0.0,,
