STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,DASF,MDSF
US1WAKG0199,"SEATTLE 4.5 N, WA US",47.686424,-122.362209,82.9,2020-01-01,,,0.19,,,,
US1WAKG0255,"SEATTLE 6.5 SSW, WA US",47.530849,-122.382541,135.0,2020-01-01,,,0.23,,,,
US1WAKG0243,"SEATTLE 3.9 SSW, WA US",47.567666,-122.372386,48.2,2020-01-01,,,0.19,,,,
US1WAKG0145,"SEATTLE 4.2 N, WA US",47.681873,-122.365539,74.1,2020-01-01,,,0.13,,,,
US1WAKG0192,"SEATTLE 5.6 N, WA US",47.702386999,-122.351663,112.5,2020-01-01,,,0.22,,,,
US1WAKG0225,"SEATTLE 2.1 ESE, WA US",47.6117,-122.3085,121.3,2020-01-01,,,0.15,,,,
US1WAKG0199,"SEATTLE 4.5 N, WA US",47.686424,-122.362209,82.9,2020-01-01,,,0.19,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-01-01,,,0.0,0.0,0.0,,
US1WAKG0145,"SEATTLE 4.2 N, WA US",47.681873,-122.365539,74.1,2020-01-01,,,0.13,,,,
US1WAKG0255,"SEATTLE 6.5 SSW, WA US",47.530849,-122.382541,135.0,2020-01-01,,,0.23,,,,
US1WAKG0200,"SEATTLE 5.8 SSE, WA US",47.543999,-122.30381,60.0,2020-01-01,,,0.19,,,,
US1WAKG0225,"SEATTLE 2.1 ESE, WA US",47.6117,-122.3085,121.3,2020-01-01,,,0.15,,,,
US1WAKG0243,"SEATTLE 3.9 SSW, WA US",47.567666,-122.372386,48.2,2020-01-01,,,0.19,,,,
US1WAKG0192,"SEATTLE 5.6 N, WA US",47.702386999,-122.351663,112.5,2020-01-01,,,0.22,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-01-01,,,0.0,0.0,0.0,,
US1WAKG0200,"SEATTLE 5.8 SSE, WA US",47.543999,-122.30381,60.0,2020-01-01,,,0.19,,,,
US1WAKG0145,"SEATTLE 4.2 N, WA US",47.681873,-122.365539,74.1,2020-01-02,,,0.34,,,,
US1WAKG0255,"SEATTLE 6.5 SSW, WA US",47.530849,-122.382541,135.0,2020-01-02,,,0.0,,,,
US1WAKG0200,"SEATTLE 5.8 SSE, WA US",47.543999,-122.30381,60.0,2020-01-02,,,0.0,,,,
US1WAKG0243,"SEATTLE 3.9 SSW, WA US",47.567666,-122.372386,48.2,2020-01-02,,,0.0,,,,
US1WAKG0225,"SEATTLE 2.1 ESE, WA US",47.6117,-122.3085,121.3,2020-01-02,,,0.33,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-01-02,,,0.21,0.0,0.0,,
